city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
St. Anthony,St. Anthony,MN,Minnesota,27053,Hennepin,45.0278,-93.2174,9145,1579.2,shape,FALSE,TRUE,America/Chicago,3,55421 55418,1840008933
Panthersville,Panthersville,GA,Georgia,13089,DeKalb,33.7059,-84.2763,9143,962.7,shape,FALSE,FALSE,America/New_York,3,30034,1840013705
East Grand Forks,East Grand Forks,MN,Minnesota,27119,Polk,47.9286,-97.0138,9140,593.5,shape,FALSE,TRUE,America/Chicago,3,56721,1840007700
Harahan,Harahan,LA,Louisiana,22051,Jefferson,29.9374,-90.2031,9137,1748.0,shape,FALSE,TRUE,America/Chicago,3,70123,1840013997
Scenic Oaks,Scenic Oaks,TX,Texas,48029,Bexar,29.7038,-98.6712,9136,447.1,shape,FALSE,FALSE,America/Chicago,3,78255 78006,1840019650
Riverside,Riverside,CT,Connecticut,9190,Western Connecticut,41.0318,-73.5827,9133,1456.3,shape,FALSE,FALSE,America/New_York,3,6878,1840026286
Smithville,Smithville,NJ,New Jersey,34001,Atlantic,39.4929,-74.4801,9127,634.9,shape,FALSE,FALSE,America/New_York,3,8205,1840024384
Lugoff,Lugoff,SC,South Carolina,45055,Kershaw,34.2113,-80.6973,9127,154.7,shape,FALSE,FALSE,America/New_York,3,29078,1840013597
Tuskegee,Tuskegee,AL,Alabama,1087,Macon,32.4409,-85.7131,9125,206.5,shape,FALSE,TRUE,America/Chicago,3,36083 36088 36087,1840004337
Oak Hills,Oak Hills,CA,California,6071,San Bernardino,34.3910,-117.4123,9123,143.7,shape,FALSE,FALSE,America/Los_Angeles,3,92344,1840024934
Terrace Heights,Terrace Heights,WA,Washington,53077,Yakima,46.6045,-120.4393,9114,334.7,shape,FALSE,FALSE,America/Los_Angeles,3,98901,1840018465
Woodbury,Woodbury,NY,New York,36059,Nassau,40.8176,-73.4703,9111,702.5,shape,FALSE,FALSE,America/New_York,3,11797,1840150821
Big Rapids,Big Rapids,MI,Michigan,26107,Mecosta,43.6992,-85.4806,9105,790.8,shape,FALSE,TRUE,America/Detroit,3,49307,1840002678
Conshohocken,Conshohocken,PA,Pennsylvania,42091,Montgomery,40.0772,-75.3034,9104,3500.2,shape,FALSE,TRUE,America/New_York,2,19428 19429,1840003697
Aransas Pass,Aransas Pass,TX,Texas,48355,Nueces,27.8876,-97.1136,9101,221.7,shape,FALSE,TRUE,America/Chicago,3,78373 78336 78335,1840019708
Waterford,Waterford,CA,California,6099,Stanislaus,37.6429,-120.7553,9100,1489.8,shape,FALSE,TRUE,America/Los_Angeles,3,95386,1840021534
Fort Irwin,Fort Irwin,CA,California,6071,San Bernardino,35.2477,-116.6834,9100,504.4,shape,TRUE,TRUE,America/Los_Angeles,3,92310,1840025802
Rathdrum,Rathdrum,ID,Idaho,16055,Kootenai,47.7948,-116.8944,9099,507.5,shape,FALSE,TRUE,America/Los_Angeles,3,83858,1840019812
Wasilla,Wasilla,AK,Alaska,2170,Matanuska-Susitna,61.5770,-149.4660,9098,283.4,shape,FALSE,TRUE,America/Anchorage,3,99654 99629,1840023371
Salem,Salem,UT,Utah,49049,Utah,40.0539,-111.6718,9097,329.3,shape,FALSE,TRUE,America/Denver,3,84653,1840021395
Des Peres,Des Peres,MO,Missouri,29189,St. Louis,38.5973,-90.4480,9096,813.1,shape,FALSE,TRUE,America/Chicago,3,63122 63131,1840007456
Cresskill,Cresskill,NJ,New Jersey,34003,Bergen,40.9405,-73.9596,9096,1701.0,shape,FALSE,TRUE,America/New_York,3,7626,1840003539
Lynwood,Lynwood,IL,Illinois,17031,Cook,41.5235,-87.5510,9095,707.1,shape,FALSE,TRUE,America/Chicago,3,60411,1840011291
Redlands,Redlands,CO,Colorado,8077,Mesa,39.0886,-108.6582,9092,272.0,shape,FALSE,FALSE,America/Denver,3,81507,1840018812
Middleton,Middleton,ID,Idaho,16027,Canyon,43.7113,-116.6157,9091,574.1,shape,FALSE,TRUE,America/Boise,3,83644 83652,1840020040
Picture Rocks,Picture Rocks,AZ,Arizona,4019,Pima,32.3274,-111.2558,9084,49.5,shape,FALSE,FALSE,America/Phoenix,3,85653 85743,1840019482
Elsmere,Elsmere,KY,Kentucky,21117,Kenton,38.9948,-84.6017,9080,1333.9,shape,FALSE,TRUE,America/New_York,3,41018 41042,1840013167
Edgewater,Edgewater,MD,Maryland,24003,Anne Arundel,38.9373,-76.5572,9075,1171.1,shape,FALSE,FALSE,America/New_York,3,21037,1840024528
Saline,Saline,MI,Michigan,26161,Washtenaw,42.1740,-83.7780,9072,808.0,shape,FALSE,TRUE,America/Detroit,3,48176,1840003171
